source_field,destination_field,format_action,rename,Notes
wazuh.agent.ip,agent.ip,,copy,This and below fields are to copy wazuh json into ECS mapped fields.
wazuh.agent.name,agent.name,,copy,
wazuh.data.aws.errorCode,error.code,,copy,
wazuh.data.aws.errorMessage,error.message,,copy,
wazuh.data.aws.id,cloud.account.id,,copy,
wazuh.data.docker.Actor.Attributes.container,container.runtime,,copy,
wazuh.data.docker.Actor.Attributes.image,container.image.name,,copy,
wazuh.data.docker.Actor.Attributes.name,container.name,,copy,
wazuh.data.docker.Actor.ID,container.labels,,copy,
wazuh.data.docker.id,container.id,,copy,
wazuh.data.dstip,destination.ip,,copy,
wazuh.data.dstport,destination.port,,copy,
wazuh.data.dstuser,destination.user.name,,copy,
wazuh.data.os.hostname,host.name,,copy,
wazuh.data.process.args,process.arg,,copy,
wazuh.data.process.name,process.name,,copy,
wazuh.data.src_ip,source.ip,,copy,
wazuh.data.src_port,source.port,,copy,
wazuh.data.srcip,source.ip,,copy,
wazuh.data.srcport,source.port,,copy,
wazuh.data.srcuser,source.user.name,,copy,
wazuh.data.url,url.full,,copy,
wazuh.data.vulnerability.advisories,vulnerability.enumeration,,copy,
wazuh.data.vulnerability.cve,vulnerability.id,,copy,
wazuh.data.vulnerability.cvss.cvss2.base_score,vulnerability.score.base,,copy,
wazuh.data.vulnerability.cwe_reference,vulnerability.enumeration,,copy,
wazuh.data.vulnerability.package.version,vulnerability.score.version,,copy,
wazuh.data.vulnerability.reference,vulnerability.reference,,copy,
wazuh.data.vulnerability.severity,vulnerability.severity,,copy,
wazuh.data.vulnerability.title,vulnerability.category,,copy,
wazuh.data.win.eventdata.processId,process.id,,copy,
wazuh.data.win.eventdata.processName,process.name,,copy,
wazuh.data.win.system.eventID,event.code,,copy,
wazuh.data.win.system.message,event.action,,copy,
wazuh.data.win.system.processID,process.pid,,copy,
wazuh.data.win.system.providerName,event.provider,,copy,
wazuh.full_log,log.original,,copy,
wazuh.manager.name,manager.name,,copy,
wazuh.rule.description,rule.description,,copy,
wazuh.rule.groups,rule.ruleset,,copy,
wazuh.rule.id,rule.id,,copy,
wazuh.syscheck.audit.login_user.name,file.owner,,copy,
wazuh.syscheck.audit.process.id,process.id,,copy,
wazuh.syscheck.audit.process.name,process.name,,copy,
wazuh.syscheck.audit.process.ppid,process.parent.ppid,,copy,
wazuh.syscheck.gid_after,file.gid,,copy,
wazuh.syscheck.md5_after,file.hash.md5,,copy,
wazuh.syscheck.mtime_before,file.mtime,,copy,
wazuh.syscheck.mtime_after,file.ctime,,copy,
wazuh.syscheck.path,file.path,,copy,
wazuh.syscheck.sha1_after,file.hash.sha1,,copy,
wazuh.syscheck.sha256_after,file.hash.sha256,,copy,
wazuh.syscheck.size_afrer,file.size,,copy,
